﻿Org,enddate,startdate,avdate,Remain_raw,Leave_raw,WNV or DK,Remain,Leave,Type
ORB,2016-03-28,2016-03-24,2016-03-26,51,49,0,51,49,O
ICM,2016-03-24,2016-03-22,2016-03-23,45,43,12,51,49,O
Ipsos,2016-03-22,2016-03-19,2016-03-20,49,41,10,54,46,T
Yougov,2016-03-22,2016-03-17,2016-03-19,40,37,23,51.5,48.5,O
ComRes/ITV,2016-03-20,2016-03-18,2016-03-19,48,41,11,54,46,T
ICM,2016-03-20,2016-03-18,2016-03-19,41,43,17,49,51,O
Survation,2016-03-19,2016-03-17,2016-03-18,46,35,19,57,43,T
ORB,2016-03-14,2016-03-11,2016-03-12,47,49,4,49,51,T
ICM,2016-03-13,2016-03-11,2016-03-12,43,41,16,51,49,O
Populus/NCP,2016-03-10,2016-03-02,2016-03-06,48,45,7,51.5,48.5,O
Populus/NCP,2016-03-06,2016-03-04,2016-03-05,49,35,16,57,43,T
ICM,2016-03-06,2016-03-04,2016-03-05,40,41,19,49,51,O
YouGov,2016-03-03,2016-03-02,2016-03-02,40,37,18,52,48,O
YouGov,2016-03-02,2016-03-01,2016-03-01,40,35,19,53,47,O
YouGov,2016-03-01,2016-02-29,2016-02-29,39,37,19,51,49,O
ICM,2016-02-29,2016-02-26,2016-02-27,41,41,18,50,50,O
Populus/NCP,2016-02-28,2016-02-26,2016-02-27,39,45,16,47,53,O
Populus/NCP,2016-02-28,2016-02-28,2016-02-28,49,35,16,57,43,T
ORB,2016-02-25,2016-02-24,2016-02-24,48,52,0,48,52,O
YouGov/Times,2016-02-23,2016-02-21,2016-02-22,37,38,25,49,51,O
BMG,2016-02-23,2016-02-17,2016-02-20,44,41,15,52,48,O
ICM,2016-02-22,2016-02-19,2016-02-20,42,40,17,51,49,O
ComRes/Daily Mail,2016-02-22,2016-02-19,2016-02-20,51,39,10,57,43,T
Survation/Mail on Sunday,2016-02-20,2016-02-13,2016-02-16,48,33,19,59,41,T
Opinion,2016-02-19,2016-02-18,2016-02-18,40,41,19,49.5,50.5,O
Ipsos MORI/Standard,2016-02-16,2016-02-13,2016-02-14,54,36,10,60,40,T
TNS,2016-02-15,2016-02-11,2016-02-13,36,39,25,48,52,O
ICM,2016-02-14,2016-02-12,2016-02-13,43,39,18,52,48,O
ComRes/ITV,2016-02-14,2016-02-11,2016-02-12,49,41,10,54,46,T
ICM,2016-02-07,2016-02-05,2016-02-06,41,42,17,49,51,O
YouGov/Times,2016-02-04,2016-02-03,2016-02-03,36,45,19,44,56,O
ICM,2016-01-31,2016-01-29,2016-01-30,41,42,17,49.5,50.5,O
YouGov,2016-01-28,2016-01-27,2016-01-27,38,42,20,48,52,O
Ipsos MORI/Standard,2016-01-25,2016-01-23,2016-01-24,55,36,9,60,40,T
BMG,2016-01-25,2016-01-21,2016-01-23,44,42,14,51,49,O
ComRes/Daily Mail,2016-01-24,2016-01-22,2016-01-23,54,36,10,60,40,T
ICM,2016-01-24,2016-01-22,2016-01-23,41,41,18,50,50,O
ORB,2016-01-21,2016-01-20,2016-01-20,52,48,0,52,48,O
ICM,2016-01-17,2016-01-15,2016-01-16,42,40,17,51,49,O
Survation/Mail on Sunday,2016-01-16,2016-01-15,2016-01-15,38,42,20,48,52,O
Panelbase,2016-01-14,2016-01-08,2016-01-11,42,45,12,48,52,O
ICM,2016-01-10,2016-01-08,2016-01-09,44,38,18,54,46,O
Ipsos MORI/Standard,2015-12-14,2015-12-14,2015-12-14,58,32,10,64,36,
ComRes/OpenEurope,2015-12-13,2015-12-13,2015-12-13,56,35,8,62,38,
ICM,2015-12-13,2015-12-13,2015-12-13,42,41,17,50,50,
ComRes (O),2015-12-11,2015-12-11,2015-12-11,41,41,18,50,50,
ICM,2015-12-06,2015-12-06,2015-12-06,43,39,17,52,48,
Survation/ADDE,2015-12-03,2015-12-03,2015-12-03,40,42,18,49,51,
YouGov,2015-11-24,2015-11-24,2015-11-24,41,41,18,50,50,
ICM,2015-11-22,2015-11-22,2015-11-22,45,38,17,54,46,
ORB/Independent,2015-11-19,2015-11-19,2015-11-19,48,52,0,48,52,
BMG/Evening Standard,2015-11-17,2015-11-17,2015-11-17,43,43,15,50,50,
Survation/Leave.EU,2015-11-17,2015-11-17,2015-11-17,43,40,18,52,48,
ICM,2015-11-15,2015-11-15,2015-11-15,43,38,19,53,47,
Survation/Leave.EU,2015-11-11,2015-11-11,2015-11-11,39,43,19,47,53,
ICM,2015-11-08,2015-11-08,2015-11-08,46,38,16,55,45,
ICM,2015-11-01,2015-11-01,2015-11-01,44,38,18,54,46,
ICM,2015-10-25,2015-10-25,2015-10-25,45,38,17,54,46,
ORB/Independent,2015-10-25,2015-10-25,2015-10-25,53,47,0,53,47,
YouGov/Prospect,2015-10-20,2015-10-20,2015-10-20,42,40,17,51,49,
Ipsos MORI,2015-10-19,2015-10-19,2015-10-19,52,36,12,59,41,
ICM,2015-10-18,2015-10-18,2015-10-18,44,38,18,54,46,
YouGov/University of Kent,2015-10-12,2015-10-12,2015-10-12,51,49,0,51,49,
ICM,2015-10-11,2015-10-11,2015-10-11,45,36,18,56,44,
ICM/VoteLeave,2015-10-07,2015-10-07,2015-10-07,44,39,17,53,47,
ICM,2015-10-04,2015-10-04,2015-10-04,42,38,20,53,47,
ComRes/Daily Mail,2015-09-28,2015-09-28,2015-09-28,55,36,8,60,40,
ICM,2015-09-27,2015-09-27,2015-09-27,45,38,17,54,46,
YouGov,2015-09-17,2015-09-17,2015-09-17,38,40,22,49,51,
ICM,2015-09-13,2015-09-13,2015-09-13,43,40,17,52,48,
Survation/Mail on Sunday,2015-09-04,2015-09-04,2015-09-04,40,43,17,48,52,
YouGov,2015-08-19,2015-08-19,2015-08-19,44,37,20,54,46,
Ipsos MORI,2015-07-02,2015-07-02,2015-07-02,52,31,17,63,37,
ORB/Independent,2015-06-21,2015-06-21,2015-06-21,55,45,0,55,45,
Ipsos MORI/Evening Standard,2015-06-16,2015-06-16,2015-06-16,66,22,12,75,25,
YouGov,2015-06-11,2015-06-11,2015-06-11,43,36,21,54,46,
YouGov/Prospect,2015-06-02,2015-06-02,2015-06-02,44,34,21,56,44,
YouGov,2015-06-02,2015-06-02,2015-06-02,42,35,22,55,45,
ComRes/Daily Mail,2015-05-31,2015-05-31,2015-05-31,58,31,11,65,35,
ICM,2015-05-31,2015-05-31,2015-05-31,43,35,22,55,45,
YouGov/Sunday Times,2015-05-22,2015-05-22,2015-05-22,44,36,20,55,45,
